IDCARRITO;DOCUMENTOCLIENTE;IDSUCURSAL;CODIGOBARRAS;CANTIDAD;PRECIOTOTAL;PRECIOUNITARIO;
106;1000105;16;1000000000165;3;21330;7110;
107;1000106;16;1000000000015;9;64080;7120;156770
107;1000106;16;1000000000165;13;92690;7130;
108;1000107;16;1000000000015;9;64260;7140;164360
108;1000107;16;1000000000165;14;100100;7150;
109;1000108;16;1000000000015;5;35800;7160;100330
109;1000108;16;1000000000165;9;64530;7170;
110;1000109;16;1000000000015;4;28720;7180;57480
110;1000109;16;1000000000165;4;28760;7190;
111;1000110;16;1000000000015;4;28800;7200;72060
111;1000110;16;1000000000165;6;43260;7210;
112;1000111;16;1000000000015;12;86640;7220;180630
112;1000111;16;1000000000165;13;93990;7230;
113;1000112;17;1000000000016;2;14480;7240;36230
113;1000112;17;1000000000166;3;21750;7250;
114;1000113;17;1000000000016;9;65340;7260;167120
114;1000113;17;1000000000166;14;101780;7270;
115;1000114;17;1000000000016;10;72800;7280;109250
115;1000114;17;1000000000166;5;36450;7290;
116;1000115;17;1000000000016;12;87600;7300;102220
116;1000115;17;1000000000166;2;14620;7310;
117;1000116;17;1000000000016;10;73200;7320;124510
117;1000116;17;1000000000166;7;51310;7330;
118;1000117;17;1000000000016;2;14680;7340;58780
118;1000117;17;1000000000166;6;44100;7350;
119;1000118;17;1000000000016;13;95680;7360;184120
119;1000118;17;1000000000166;12;88440;7370;
120;1000119;18;1000000000017;3;22140;7380;81260
120;1000119;18;1000000000167;8;59120;7390;
121;1000120;18;1000000000017;13;96200;7400;185120
121;1000120;18;1000000000167;12;88920;7410;
122;1000121;18;1000000000017;14;103880;7420;148460
122;1000121;18;1000000000167;6;44580;7430;
123;1000122;18;1000000000017;11;81840;7440;111640
123;1000122;18;1000000000167;4;29800;7450;
124;1000123;18;1000000000017;12;89520;7460;119400
124;1000123;18;1000000000167;4;29880;7470;
125;1000124;18;1000000000017;1;7480;7480;74890
125;1000124;18;1000000000167;9;67410;7490;
126;1000125;18;1000000000017;9;67500;7500;127580
126;1000125;18;1000000000167;8;60080;7510;
127;1000126;19;1000000000018;8;60160;7520;97810
127;1000126;19;1000000000168;5;37650;7530;
128;1000127;19;1000000000018;5;37700;7540;98100
128;1000127;19;1000000000168;8;60400;7550;
129;1000128;19;1000000000018;2;15120;7560;45400
129;1000128;19;1000000000168;4;30280;7570;
130;1000129;19;1000000000018;4;30320;7580;83450
130;1000129;19;1000000000168;7;53130;7590;
131;1000130;19;1000000000018;4;30400;7600;45620
131;1000130;19;1000000000168;2;15220;7610;
132;1000131;19;1000000000018;9;68580;7620;144880
132;1000131;19;1000000000168;10;76300;7630;
133;1000132;19;1000000000018;5;38200;7640;114700
133;1000132;19;1000000000168;10;76500;7650;
134;1000133;20;1000000000019;3;22980;7660;76670
134;1000133;20;1000000000169;7;53690;7670;
135;1000134;20;1000000000019;4;30720;7680;92240
135;1000134;20;1000000000169;8;61520;7690;
136;1000135;20;1000000000019;12;92400;7700;138660
136;1000135;20;1000000000169;6;46260;7710;
137;1000136;20;1000000000019;14;108080;7720;146730
137;1000136;20;1000000000169;5;38650;7730;
138;1000137;20;1000000000019;7;54180;7740;69680
138;1000137;20;1000000000169;2;15500;7750;
139;1000138;20;1000000000019;14;108640;7760;124180
139;1000138;20;1000000000169;2;15540;7770;
140;1000139;20;1000000000019;8;62240;7780;147930
140;1000139;20;1000000000169;11;85690;7790;
141;1000140;21;1000000000020;6;46800;7800;132710
141;1000140;21;1000000000170;11;85910;7810;
142;1000141;21;1000000000020;5;39100;7820;70420
142;1000141;21;1000000000170;4;31320;7830;
143;1000142;21;1000000000020;3;23520;7840;109870
143;1000142;21;1000000000170;11;86350;7850;
144;1000143;21;1000000000020;1;7860;7860;31470
144;1000143;21;1000000000170;3;23610;7870;
145;1000144;21;1000000000020;3;23640;7880;118320
145;1000144;21;1000000000170;12;94680;7890;
146;1000145;21;1000000000020;2;15800;7900;71170
146;1000145;21;1000000000170;7;55370;7910;
147;1000146;21;1000000000020;12;95040;7920;150550
147;1000146;21;1000000000170;7;55510;7930;
148;1000147;22;1000000000021;5;39700;7940;151000
148;1000147;22;1000000000171;14;111300;7950;
149;1000148;22;1000000000021;4;31840;7960;135450
149;1000148;22;1000000000171;13;103610;7970;
150;1000149;22;1000000000021;8;63840;7980;71830
150;1000149;22;1000000000171;1;7990;7990;
151;1000150;22;1000000000021;10;80000;8000;144080
151;1000150;22;1000000000171;8;64080;8010;
152;1000151;22;1000000000021;13;104260;8020;168500
152;1000151;22;1000000000171;8;64240;8030;
153;1000152;22;1000000000021;9;72360;8040;96510
153;1000152;22;1000000000171;3;24150;8050;
154;1000153;22;1000000000021;10;80600;8060;177440
154;1000153;22;1000000000171;12;96840;8070;
155;1000154;23;1000000000022;8;64640;8080;169810
155;1000154;23;1000000000172;13;105170;8090;
156;1000155;23;1000000000022;1;8100;8100;97310
156;1000155;23;1000000000172;11;89210;8110;
157;1000156;23;1000000000022;4;32480;8120;89390
157;1000156;23;1000000000172;7;56910;8130;
158;1000157;23;1000000000022;14;113960;8140;138410
158;1000157;23;1000000000172;3;24450;8150;
159;1000158;23;1000000000022;5;40800;8160;48970
159;1000158;23;1000000000172;1;8170;8170;
160;1000159;23;1000000000022;13;106340;8180;196430
160;1000159;23;1000000000172;11;90090;8190;
161;1000160;23;1000000000022;8;65600;8200;139490
161;1000160;23;1000000000172;9;73890;8210;
162;1000161;24;1000000000023;2;16440;8220;49360
162;1000161;24;1000000000173;4;32920;8230;
163;1000162;24;1000000000023;3;24720;8240;140220
163;1000162;24;1000000000173;14;115500;8250;
164;1000163;24;1000000000023;6;49560;8260;157070
164;1000163;24;1000000000173;13;107510;8270;
165;1000164;24;1000000000023;1;8280;8280;124340
165;1000164;24;1000000000173;14;116060;8290;
166;1000165;24;1000000000023;12;99600;8300;182700
166;1000165;24;1000000000173;10;83100;8310;
167;1000166;24;1000000000023;4;33280;8320;58270
167;1000166;24;1000000000173;3;24990;8330;
168;1000167;24;1000000000023;8;66720;8340;108470
168;1000167;24;1000000000173;5;41750;8350;
169;1000168;25;1000000000024;8;66880;8360;125470
169;1000168;25;1000000000174;7;58590;8370;
170;1000169;25;1000000000024;12;100560;8380;201240
170;1000169;25;1000000000174;12;100680;8390;
171;1000170;25;1000000000024;10;84000;8400;193330
171;1000170;25;1000000000174;13;109330;8410;
172;1000171;25;1000000000024;12;101040;8420;151620
172;1000171;25;1000000000174;6;50580;8430;
173;1000172;25;1000000000024;11;92840;8440;211140
173;1000172;25;1000000000174;14;118300;8450;
174;1000173;25;1000000000024;2;16920;8460;135500
174;1000173;25;1000000000174;14;118580;8470;
175;1000174;25;1000000000024;1;8480;8480;93380
175;1000174;25;1000000000174;10;84900;8490;
176;1000175;26;1000000000025;7;59500;8500;102050
176;1000175;26;1000000000175;5;42550;8510;
177;1000176;26;1000000000025;9;76680;8520;153450
177;1000176;26;1000000000175;9;76770;8530;
178;1000177;26;1000000000025;2;17080;8540;42730
178;1000177;26;1000000000175;3;25650;8550;
179;1000178;26;1000000000025;1;8560;8560;59980
179;1000178;26;1000000000175;6;51420;8570;
180;1000179;26;1000000000025;14;120120;8580;197430
180;1000179;26;1000000000175;9;77310;8590;
181;1000180;26;1000000000025;14;120400;8600;206500
181;1000180;26;1000000000175;10;86100;8610;
182;1000181;26;1000000000025;6;51720;8620;103500
182;1000181;26;1000000000175;6;51780;8630;
183;1000182;27;1000000000026;7;60480;8640;77780
183;1000182;27;1000000000176;2;17300;8650;
184;1000183;27;1000000000026;8;69280;8660;86620
184;1000183;27;1000000000176;2;17340;8670;
185;1000184;27;1000000000026;8;69440;8680;182410
185;1000184;27;1000000000176;13;112970;8690;
186;1000185;27;1000000000026;3;26100;8700;52230
186;1000185;27;1000000000176;3;26130;8710;
187;1000186;27;1000000000026;10;87200;8720;148310
187;1000186;27;1000000000176;7;61110;8730;
188;1000187;27;1000000000026;1;8740;8740;69990
188;1000187;27;1000000000176;7;61250;8750;
189;1000188;27;1000000000026;12;105120;8760;201590
189;1000188;27;1000000000176;11;96470;8770;
190;1000189;28;1000000000027;8;70240;8780;114190
190;1000189;28;1000000000177;5;43950;8790;
191;1000190;28;1000000000027;14;123200;8800;176060
191;1000190;28;1000000000177;6;52860;8810;
192;1000191;28;1000000000027;10;88200;8820;211820
192;1000191;28;1000000000177;14;123620;8830;
193;1000192;28;1000000000027;2;17680;8840;53080
193;1000192;28;1000000000177;4;35400;8850;
194;1000193;28;1000000000027;12;106320;8860;159540
194;1000193;28;1000000000177;6;53220;8870;
195;1000194;28;1000000000027;8;71040;8880;142160
195;1000194;28;1000000000177;8;71120;8890;
196;1000195;28;1000000000027;13;115700;8900;240440
196;1000195;28;1000000000177;14;124740;8910;
197;1000196;29;1000000000028;11;98120;8920;160630
197;1000196;29;1000000000178;7;62510;8930;
198;1000197;29;1000000000028;1;8940;8940;44740
198;1000197;29;1000000000178;4;35800;8950;
199;1000198;29;1000000000028;10;89600;8960;125480
199;1000198;29;1000000000178;4;35880;8970;
200;1000199;29;1000000000028;2;17960;8980;44930
200;1000199;29;1000000000178;3;26970;8990;
201;1000200;29;1000000000028;11;99000;9000;189100
201;1000200;29;1000000000178;10;90100;9010;
202;1000201;29;1000000000028;14;126280;9020;162400
202;1000201;29;1000000000178;4;36120;9030;
203;1000202;29;1000000000028;13;117520;9040;135620
203;1000202;29;1000000000178;2;18100;9050;
204;1000203;30;1000000000029;13;117780;9060;135920
204;1000203;30;1000000000179;2;18140;9070;
205;1000204;30;1000000000029;13;118040;9080;172580
205;1000204;30;1000000000179;6;54540;9090;
206;1000205;30;1000000000029;6;54600;9100;100150
206;1000205;30;1000000000179;5;45550;9110;
207;1000206;30;1000000000029;4;36480;9120;54740
207;1000206;30;1000000000179;2;18260;9130;
208;1000207;30;1000000000029;12;109680;9140;118830
208;1000207;30;1000000000179;1;9150;9150;
209;1000208;30;1000000000029;14;128240;9160;256620
209;1000208;30;1000000000179;14;128380;9170;
210;1000209;30;1000000000029;8;73440;9180;110200
210;1000209;30;1000000000179;4;36760;9190;
211;1000210;31;1000000000030;14;128800;9200;202480
211;1000210;31;1000000000180;8;73680;9210;
212;1000211;31;1000000000030;14;129080;9220;212150
212;1000211;31;1000000000180;9;83070;9230;
213;1000212;31;1000000000030;14;129360;9240;138610
213;1000212;31;1000000000180;1;9250;9250;
214;1000213;31;1000000000030;12;111120;9260;185280
214;1000213;31;1000000000180;8;74160;9270;
215;1000214;31;1000000000030;9;83520;9280;92810
215;1000214;31;1000000000180;1;9290;9290;
216;1000215;31;1000000000030;6;55800;9300;130280
216;1000215;31;1000000000180;8;74480;9310;
217;1000216;31;1000000000030;12;111840;9320;158490
217;1000216;31;1000000000180;5;46650;9330;
218;1000217;32;1000000000031;5;46700;9340;65400
218;1000217;32;1000000000181;2;18700;9350;
219;1000218;32;1000000000031;2;18720;9360;74940
219;1000218;32;1000000000181;6;56220;9370;
220;1000219;32;1000000000031;11;103180;9380;150130
220;1000219;32;1000000000181;5;46950;9390;
221;1000220;32;1000000000031;12;112800;9400;197490
221;1000220;32;1000000000181;9;84690;9410;
222;1000221;32;1000000000031;3;28260;9420;150850
222;1000221;32;1000000000181;13;122590;9430;
223;1000222;32;1000000000031;1;9440;9440;37790
223;1000222;32;1000000000181;3;28350;9450;
224;1000223;32;1000000000031;10;94600;9460;160890
224;1000223;32;1000000000181;7;66290;9470;
225;1000224;33;1000000000032;9;85320;9480;180220
225;1000224;33;1000000000182;10;94900;9490;
226;1000225;33;1000000000032;12;114000;9500;123510
226;1000225;33;1000000000182;1;9510;9510;
227;1000226;33;1000000000032;4;38080;9520;85730
227;1000226;33;1000000000182;5;47650;9530;
228;1000227;33;1000000000032;2;19080;9540;57280
228;1000227;33;1000000000182;4;38200;9550;
229;1000228;33;1000000000032;10;95600;9560;200870
229;1000228;33;1000000000182;11;105270;9570;
230;1000229;33;1000000000032;11;105380;9580;134150
230;1000229;33;1000000000182;3;28770;9590;
231;1000230;33;1000000000032;7;67200;9600;124860
231;1000230;33;1000000000182;6;57660;9610;
232;1000231;34;1000000000033;12;115440;9620;240630
232;1000231;34;1000000000183;13;125190;9630;
233;1000232;34;1000000000033;4;38560;9640;96460
233;1000232;34;1000000000183;6;57900;9650;
234;1000233;34;1000000000033;13;125580;9660;173930
234;1000233;34;1000000000183;5;48350;9670;
235;1000234;34;1000000000033;6;58080;9680;67770
235;1000234;34;1000000000183;1;9690;9690;
236;1000235;34;1000000000033;12;116400;9700;135820
236;1000235;34;1000000000183;2;19420;9710;
237;1000236;34;1000000000033;11;106920;9720;126380
237;1000236;34;1000000000183;2;19460;9730;
238;1000237;34;1000000000033;4;38960;9740;146210
238;1000237;34;1000000000183;11;107250;9750;
239;1000238;35;1000000000034;7;68320;9760;136710
239;1000238;35;1000000000184;7;68390;9770;
240;1000239;35;1000000000034;11;107580;9780;176110
240;1000239;35;1000000000184;7;68530;9790;
241;1000240;35;1000000000034;5;49000;9800;98050
241;1000240;35;1000000000184;5;49050;9810;
242;1000241;35;1000000000034;6;58920;9820;157220
242;1000241;35;1000000000184;10;98300;9830;
243;1000242;35;1000000000034;2;19680;9840;78780
243;1000242;35;1000000000184;6;59100;9850;
244;1000243;35;1000000000034;14;138040;9860;217000
244;1000243;35;1000000000184;8;78960;9870;
245;1000244;35;1000000000034;9;88920;9880;217490
245;1000244;35;1000000000184;13;128570;9890;
246;1000245;36;1000000000035;11;108900;9900;178270
246;1000245;36;1000000000185;7;69370;9910;
247;1000246;36;1000000000035;14;138880;9920;198460
247;1000246;36;1000000000185;6;59580;9930;
248;1000247;36;1000000000035;10;99400;9940;238700
248;1000247;36;1000000000185;14;139300;9950;
249;1000248;36;1000000000035;4;39840;9960;79720
249;1000248;36;1000000000185;4;39880;9970;
250;1000249;36;1000000000035;8;79840;9980;139780
250;1000249;36;1000000000185;6;59940;9990;
251;1000250;36;1000000000035;2;20000;10000;80060
251;1000250;36;1000000000185;6;60060;10010;
252;1000251;36;1000000000035;1;10020;10020;40110
252;1000251;36;1000000000185;3;30090;10030;
253;1000252;37;1000000000036;14;140560;10040;160660
253;1000252;37;1000000000186;2;20100;10050;
254;1000253;37;1000000000036;14;140840;10060;221400
254;1000253;37;1000000000186;8;80560;10070;
255;1000254;37;1000000000036;5;50400;10080;121030
255;1000254;37;1000000000186;7;70630;10090;
256;1000255;37;1000000000036;7;70700;10100;192020
256;1000255;37;1000000000186;12;121320;10110;
257;1000256;37;1000000000036;8;80960;10120;192390
257;1000256;37;1000000000186;11;111430;10130;
258;1000257;37;1000000000036;9;91260;10140;202910
258;1000257;37;1000000000186;11;111650;10150;
259;1000258;37;1000000000036;12;121920;10160;172770
259;1000258;37;1000000000186;5;50850;10170;
260;1000259;38;1000000000037;8;81440;10180;112010
260;1000259;38;1000000000187;3;30570;10190;
261;1000260;38;1000000000037;3;30600;10200;91860
261;1000260;38;1000000000187;6;61260;10210;
262;1000261;38;1000000000037;4;40880;10220;92030
262;1000261;38;1000000000187;5;51150;10230;
263;1000262;38;1000000000037;5;51200;10240;102450
263;1000262;38;1000000000187;5;51250;10250;
264;1000263;38;1000000000037;3;30780;10260;112940
264;1000263;38;1000000000187;8;82160;10270;
265;1000264;38;1000000000037;11;113080;10280;215980
265;1000264;38;1000000000187;10;102900;10290;
266;1000265;38;1000000000037;11;113300;10300;257640
266;1000265;38;1000000000187;14;144340;10310;
267;1000266;39;1000000000038;2;20640;10320;30970
267;1000266;39;1000000000188;1;10330;10330;
268;1000267;39;1000000000038;9;93060;10340;113760
268;1000267;39;1000000000188;2;20700;10350;
269;1000268;39;1000000000038;3;31080;10360;82930
269;1000268;39;1000000000188;5;51850;10370;
270;1000269;39;1000000000038;14;145320;10380;197270
270;1000269;39;1000000000188;5;51950;10390;
271;1000270;39;1000000000038;3;31200;10400;93660
271;1000270;39;1000000000188;6;62460;10410;
272;1000271;39;1000000000038;4;41680;10420;52110
272;1000271;39;1000000000188;1;10430;10430;
273;1000272;39;1000000000038;4;41760;10440;73110
273;1000272;39;1000000000188;3;31350;10450;
274;1000273;40;1000000000039;7;73220;10460;177920
274;1000273;40;1000000000189;10;104700;10470;
275;1000274;40;1000000000039;6;62880;10480;188760
275;1000274;40;1000000000189;12;125880;10490;
276;1000275;40;1000000000039;4;42000;10500;52510
276;1000275;40;1000000000189;1;10510;10510;
277;1000276;40;1000000000039;6;63120;10520;178950
277;1000276;40;1000000000189;11;115830;10530;
278;1000277;40;1000000000039;9;94860;10540;137060
278;1000277;40;1000000000189;4;42200;10550;
279;1000278;40;1000000000039;7;73920;10560;211330
279;1000278;40;1000000000189;13;137410;10570;
280;1000279;40;1000000000039;2;21160;10580;52930
280;1000279;40;1000000000189;3;31770;10590;
281;1000280;41;1000000000040;2;21200;10600;42420
281;1000280;41;1000000000190;2;21220;10610;
282;1000281;41;1000000000040;14;148680;10620;286870
282;1000281;41;1000000000190;13;138190;10630;
283;1000282;41;1000000000040;1;10640;10640;138440
283;1000282;41;1000000000190;12;127800;10650;
284;1000283;41;1000000000040;5;53300;10660;149330
284;1000283;41;1000000000190;9;96030;10670;
285;1000284;41;1000000000040;2;21360;10680;64120
285;1000284;41;1000000000190;4;42760;10690;
286;1000285;41;1000000000040;11;117700;10700;139120
286;1000285;41;1000000000190;2;21420;10710;
287;1000286;41;1000000000040;5;53600;10720;85790
287;1000286;41;1000000000190;3;32190;10730;
288;1000287;42;1000000000041;12;128880;10740;193380
288;1000287;42;1000000000191;6;64500;10750;
